Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,47nF,
"C2, C3, C4",0603,3,330nF,
C5,0603,1,22pF,
C6,0603,1,47pF,
C7,0603,1,100nF,
"D1, D2, D3",D_SOD-123,3,1N4148W,
J1,DIP-16_W7.62mm_Socket,1,Keyboard Connector,
"J2, J4, J5",L717SDE09PA4CH3F,3,DE9_Plug_MountingHoles,
J3,1560099E,1,156-0099-E,
J6,PinSocket_1x14_P2.54mm_Vertical,1,GPI/O,
"J7, J8",PinSocket_1x10_P2.54mm_Vertical,2,Conn_01x10,
JP1,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,1,ASCII D7,
JP10,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,1,Timer_IRQ,
"JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,8,SolderJumper_2_Open,
Q4,SOT-23_Handsoldering,1,MMBT3904,
"R1, R2, R3",0603,3,2.2K,
R10,0603,1,150R,
R11,0603,1,200R,
R4,0603,1,4.7k,
"R5, R7",0603,2,1.5k,
R6,0603,1,1M,
R8,0603,1,2K,
R9,0603,1,10R,
U1,MQFP-44_10x10mm_P0.8mm,1,W65C02SxQ,
"U10, U11",SOIC-24W_7.5x15.4mm_P1.27mm,2,74HC154,
"U12, U15, U23",SOIC-20W_7.5x12.8mm_P1.27mm,3,74HC373,
"U13, U21, U7",SOIC-14_3.9x8.7mm_P1.27mm,3,74HC02,
U14,PLCC-28,1,82C54_PLCC,
"U16, U22, U30",SOIC-14_3.9x8.7mm_P1.27mm,3,74HC32,
U17,TQFP-48_7x7mm_P0.5mm,1,TL16C550D/DL PT/PFB,
U18,TSSOP-28_4.4x9.7mm_P0.65mm,1,TRSF3243,
U19,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC86,
U2,SOIC-28W_7.5x17.9mm_P1.27mm,1,AT28HC64BF,
U20,PLCC-44,1,W65C21SxPL,
U24,DIP-40_W15.24mm,1,6545,
U25,SOIC-28W_7.5x18.7mm_P1.27mm,1,AS6C6264,
"U26, U27, U28, U39, U40, U41, U47, U48",SOIC-16_3.9x9.9mm_P1.27mm,8,74HC157,
"U29, U31, U49, U8, U9",SOIC-14_3.9x8.7mm_P1.27mm,5,74HC08,
"U3, U34",SOIC-28W_7.5x17.9mm_P1.27mm,2,IS62C256AL,
U32,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC04,
"U35, U36, U42, U43",SOIC-20W_7.5x12.8mm_P1.27mm,4,74HC244,
U37,SOIC-20W_7.5x12.8mm_P1.27mm,1,74HC574,
U38,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC165,
"U4, U5, U6",SOIC-14_3.9x8.7mm_P1.27mm,3,74HC00,
U44,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC163,
U45,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC174,
U46,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC74,
X1,Oscillator_SMD_Fordahl_DFAS11-4Pin_7.0x5.0mm,1,DFA-S11,
X2,Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm_HandSoldering,1,ASV-2.5MHz,
Y1,Crystal_HC49-U_Horizontal_1EP_style2,1,1.8432MHz,
